fold,n_valid,gamma,lambda_,SSE,RMSE
5,102,0.03125,10.0,776.3983024089398,0.7651921861574155
5,102,0.03125,100.0,888.6041365777227,0.8186200988232439
5,102,0.0625,1e-06,159.72518966403607,0.3470682965376781
5,102,0.0625,1e-05,100.92754058543825,0.27588817299964974
5,102,0.0625,0.0001,81.65085627435957,0.24814676037890496
5,102,0.0625,0.001,112.34688564378797,0.29107758089967045
5,102,0.0625,0.01,158.61342684300195,0.34585830763701475
5,102,0.0625,0.1,182.029399128072,0.3705092080487651
5,102,0.0625,1.0,320.65135675750525,0.49175046459049354
5,102,0.0625,10.0,694.8560791897886,0.7238951529405491
5,102,0.0625,100.0,874.8772886155319,0.8122726105364512
5,102,0.125,1e-06,180.0020258574976,0.36844013642767376
5,102,0.125,1e-05,141.4471816855837,0.3266069238689576
5,102,0.125,0.0001,93.16627064105194,0.26506817848743275
5,102,0.125,0.001,88.97398767805392,0.2590357855948547
5,102,0.125,0.01,137.52244027395687,0.3220438596947419
5,102,0.125,0.1,171.36907642643516,0.35949633405351283
5,102,0.125,1.0,251.1564132836414,0.4352115115568346
5,102,0.125,10.0,595.8248063019992,0.6703282588304974
5,102,0.125,100.0,851.7219351573586,0.801451330187081
5,102,0.25,1e-06,165.39110492155876,0.35317041221131107
5,102,0.25,1e-05,157.42469345642576,0.3445598471642444
5,102,0.25,0.0001,124.92550398059397,0.3069402150440826
5,102,0.25,0.001,91.63759681221026,0.2628845625400587
5,102,0.25,0.01,110.49843384660139,0.288673088843025
5,102,0.25,0.1,160.48166677744757,0.3478892036585899
5,102,0.25,1.0,212.33535431619987,0.40016526969997934
5,102,0.25,10.0,499.0122980259224,0.6134566269933459
5,102,0.25,100.0,818.1846243547172,0.7855139368998423
5,102,0.5,1e-06,147.3309494107922,0.33333063657746853
5,102,0.5,1e-05,146.46767042980042,0.33235263399835024
5,102,0.5,0.0001,139.57170614197324,0.32443442625536517
5,102,0.5,0.001,116.27546793782,0.2961230991454844
5,102,0.5,0.01,103.9863905287308,0.280037692098807
5,102,0.5,0.1,145.47769138323042,0.3312275393030947
5,102,0.5,1.0,196.4616181393261,0.38491700358984376
5,102,0.5,10.0,427.0943740805302,0.5675317507815719
5,102,0.5,100.0,781.9029433879434,0.767899990045496
5,102,1.0,1e-06,143.48315040129071,0.328949090397544
5,102,1.0,1e-05,143.40225913842673,0.3288563517774808
5,102,1.0,0.0001,142.62913571552957,0.32796867345199204
5,102,1.0,0.001,137.2862460211275,0.32176718631314627
5,102,1.0,0.01,126.32613968665648,0.3086560901161749
5,102,1.0,0.1,140.52247559373572,0.32553758253438975
5,102,1.0,1.0,197.7522820781415,0.3861792990818156
5,102,1.0,10.0,402.6754971277445,0.5510688210160656
5,102,1.0,100.0,764.4320860371131,0.7592725372684106
5,102,2.0,1e-06,164.872139292543,0.3526158862946731
5,102,2.0,1e-05,164.86540573207603,0.35260868560981046
5,102,2.0,0.0001,164.7989314877703,0.3525375919834877
5,102,2.0,0.001,164.21162355557735,0.351908847244442
5,102,2.0,0.01,161.91849882876716,0.34944310233758746
5,102,2.0,0.1,167.04687051866438,0.35493384181472154
